"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1527","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","5929","Guest see no messages on Product page","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","2082","Authorized user can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","2186","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","1156","Guest should see login link on Main page","tests","2026-07-08","passed","2026-07-08","TestMainPage","test_main_page","",""
"","1300","Guest can go to Login page from Product page","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","1810","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","1935","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","2016","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","5572","Authorized user see no messages on Product page","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","1960","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","6213","Empty basket opened from Product page has no products","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","984","Guest should see login link on Product page","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","2154","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","2900","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","6367","Empty basket opened from Main page has no products","tests","2026-07-08","passed","2026-07-08","TestMainPage","test_main_page","",""
"","1140","Guest can go to Login page from Main page","tests","2026-07-08","passed","2026-07-08","TestMainPage","test_main_page","",""
"","1579","Guest can add product to basket","tests","2026-07-08","passed","2026-07-08","TestProductPage","test_product_page","",""
"","12024","Guest can add product to basket","tests","2026-07-08","skipped","2026-07-08","TestProductPage","test_product_page","",""
