"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1693","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1247","Guest can go to Login page from Main page","tests","2026-07-03","passed","2026-07-03","TestMainPage","test_main_page","",""
"","1745","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1672","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","6403","Empty basket opened from Main page has no products","tests","2026-07-03","passed","2026-07-03","TestMainPage","test_main_page","",""
"","1134","Guest should see login link on Main page","tests","2026-07-03","passed","2026-07-03","TestMainPage","test_main_page","",""
"","2069","Authorized user can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1435","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5458","Guest see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5357","Authorized user see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2230","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2638","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2279","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1275","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1942","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","6251","Empty basket opened from Product page has no products","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","6067","Guest can add product to basket","tests","2026-07-03","skipped","2026-07-03","TestProductPage","test_product_page","",""
"","1479","Guest can go to Login page from Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","700","Guest should see login link on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
