"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2252","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","971","Guest should see login link on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","6063","Guest see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1663","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1285","Guest can go to Login page from Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","1351","Guest should see login link on Main page","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","1691","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1786","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","2038","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","7437","Empty basket opened from Product page has no products","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1881","Guest can go to Login page from Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1571","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1869","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1766","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","6361","Empty basket opened from Main page has no products","tests","2026-07-24","passed","2026-07-24","TestMainPage","test_main_page","",""
"","11686","Guest can add product to basket","tests","2026-07-24","skipped","2026-07-24","TestProductPage","test_product_page","",""
"","5669","Authorized user see no messages on Product page","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","1595","Guest can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
"","3490","Authorized user can add product to basket","tests","2026-07-24","passed","2026-07-24","TestProductPage","test_product_page","",""
